         4250359 function calls (3961221 primitive calls) in 47.377 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:5(_LowerResult)
        1    0.000    0.000    0.000    0.000 <string>:5(_ReflectContext)
        1    0.000    0.000    0.000    0.000 <string>:5(_TypeofContext)
        1    0.000    0.000    0.000    0.000 <string>:5(_UFuncLoopSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(_UnboxContext)
        1    0.000    0.000    0.000    0.000 <string>:5(_VarArgItem)
        1    0.000    0.000    0.000    0.000 <string>:5(dead_maps_result)
        1    0.000    0.000    0.000    0.000 <string>:5(loop_lift_info)
        1    0.000    0.000    0.000    0.000 <string>:5(nrt_mstats)
        1    0.000    0.000    0.000    0.000 <string>:5(opcode_info)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 <string>:5(use_defs_result)
        1    0.000    0.000    0.000    0.000 Camera.py:1(<module>)
        1    0.000    0.000    0.200    0.200 Camera.py:13(__init__)
      270    2.017    0.007    7.561    0.028 Camera.py:41(update)
        1    0.000    0.000    0.000    0.000 Camera.py:5(Camera)
      270    0.008    0.000    0.221    0.001 Camera.py:7(_resize_frame)
        1    0.000    0.000    0.000    0.000 Camera.py:71(active)
        1    0.000    0.000    0.000    0.000 Camera.py:75(shape)
      270    0.001    0.000    0.001    0.000 Camera.py:79(input_frame)
      270    0.001    0.000    0.001    0.000 Camera.py:83(mask)
        1    0.000    0.000    0.390    0.390 DensityField.py:1(<module>)
  540/270    0.218    0.000    0.948    0.004 DensityField.py:14(update)
      270    0.000    0.000    0.000    0.000 DensityField.py:33(field)
      270    0.012    0.000    0.303    0.001 DensityField.py:37(colour_field)
        1    0.000    0.000    0.039    0.039 DensityField.py:4(DensityField)
      270    0.063    0.000    0.257    0.001 DensityField.py:42(alpha)
        1    0.000    0.000    0.000    0.000 DensityField.py:5(__init__)
        1    0.000    0.000    0.000    0.000 FPS_counter.py:1(<module>)
      270    0.003    0.000    0.004    0.000 FPS_counter.py:10(_get_dt)
      270    0.004    0.000    0.073    0.000 FPS_counter.py:13(update)
      763    0.002    0.000    0.002    0.000 FPS_counter.py:29(last_dt)
        1    0.000    0.000    0.000    0.000 FPS_counter.py:3(FPS_counter)
       47    0.000    0.000    0.000    0.000 FPS_counter.py:33(__str__)
        1    0.000    0.000    0.000    0.000 FPS_counter.py:4(__init__)
        1    0.000    0.000    0.000    0.000 Options.py:1(<module>)
       50    0.000    0.000    0.000    0.000 Options.py:13(update)
     1080    0.003    0.000    0.003    0.000 Options.py:29(current)
        1    0.000    0.000    0.000    0.000 Options.py:3(Cycle)
       94    0.001    0.000    0.001    0.000 Options.py:37(__str__)
        2    0.000    0.000    0.000    0.000 Options.py:4(__init__)
        1    0.000    0.000    0.000    0.000 Options.py:42(Range)
        5    0.000    0.000    0.000    0.000 Options.py:43(__init__)
      125    0.001    0.000    0.001    0.000 Options.py:52(update)
     1892    0.004    0.000    0.004    0.000 Options.py:62(current)
      235    0.001    0.000    0.003    0.000 Options.py:66(__str__)
        1    0.000    0.000    0.004    0.004 SimBase.py:1(<module>)
      270    0.017    0.000    0.017    0.000 SimBase.py:14(set_boundary)
      540    0.028    0.000    0.028    0.000 SimBase.py:19(set_velocity)
        1    0.000    0.000    0.002    0.002 SimBase.py:6(SimBase)
        1    0.000    0.000    0.000    0.000 SimBase.py:7(__init__)
        1    0.000    0.000    0.008    0.008 Sim_C.py:1(<module>)
      270    0.401    0.001    0.401    0.001 Sim_C.py:20(sub_gradient)
      270    1.334    0.005    1.334    0.005 Sim_C.py:27(enforce_slip)
        1    0.000    0.000    0.000    0.000 Sim_C.py:40(Sim)
        1    0.000    0.000    0.005    0.005 Sim_C.py:42(__init__)
  540/270   10.175    0.019   24.095    0.089 Sim_C.py:59(step)
      270    1.129    0.004    1.129    0.004 Sim_C.py:9(divergence)
        1    0.000    0.000    0.000    0.000 X.py:23(<module>)
        1    0.000    0.000    0.003    0.003 XK.py:26(<module>)
       54    0.000    0.000    0.000    0.000 XK.py:28(string_to_keysym)
        2    0.001    0.000    0.003    0.002 XK.py:36(load_keysym_group)
        2    0.000    0.000    0.000    0.000 XK.py:50(<listcomp>)
        1    0.000    0.000    0.000    0.000 Xatom.py:22(<module>)
        1    0.000    0.000    0.000    0.000 Xutil.py:23(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
       16    0.001    0.000    0.362    0.023 __init__.py:1(<module>)
        2    0.000    0.000    0.030    0.015 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1003(FileHandler)
        1    0.000    0.000    0.164    0.164 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1072(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1078(__init__)
        3    0.000    0.000    0.004    0.001 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1096(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1138(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1143(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:12(_init)
        1    0.000    0.000    0.000    0.000 __init__.py:123(_emitter)
        1    0.000    0.000    0.000    0.000 __init__.py:1246(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        2    0.000    0.000    0.013    0.006 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1569(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1575(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1583(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:183(NotifierMixin)
        2    0.000    0.000    0.000    0.000 __init__.py:185(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        1    0.000    0.000    0.001    0.001 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:1934(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        1    0.000    0.000    0.028    0.028 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:208(_receiver)
        3    0.000    0.000    0.281    0.094 __init__.py:21(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
